numero_targeta,ID_Client,ID_Botiga,data_compra
,1,28,
,2,38,
,3,82,
,4,97,
,5,44,
,6,20,
,7,58,
,8,37,
,9,27,
,10,37,
,11,27,
,12,20,
,13,16,
,14,30,
,15,96,
,16,61,
,17,49,
,18,69,
,19,96,
,20,72,
,21,98,
,22,71,
,23,73,
,24,26,
,25,63,
,26,35,
,27,98,
,28,47,
,29,92,
,30,24,
,31,84,
,32,36,
,33,88,
,34,48,
,35,65,
,36,97,
,37,59,
,38,8,
,39,68,
,40,72,
2074,41,46,2020-04-11
,42,77,
,43,4,
,44,89,
,45,26,
,46,82,
,47,5,
,48,53,
,49,42,
,50,24,
,51,5,
,52,11,
,53,37,
,54,49,
,55,13,
,56,94,
,57,95,
,58,66,
,59,53,
,60,71,
,61,87,
,62,68,
,63,20,
,64,20,
,65,98,
,66,45,
,67,70,
,68,71,
,69,13,
,70,32,
,71,66,
,72,67,
,73,77,
,74,13,
,75,81,
,76,9,
,77,84,
,78,83,
,79,13,
,80,6,
,81,55,
,82,73,
,83,23,
,84,22,
,85,95,
,86,18,
,87,53,
,88,44,
,89,7,
,90,77,
,91,82,
,92,30,
,93,88,
,94,8,
,95,40,
,96,22,
,97,67,
,98,86,
,99,76,
,100,20,
,101,26,
,102,96,
,103,73,
,104,87,
,105,67,
,106,30,
,107,99,
,108,66,
,109,2,
,110,24,
,111,30,
,112,43,
,113,36,
,114,15,
,115,4,
,116,94,
,117,98,
,118,63,
,119,61,
,120,48,
,121,73,
,122,64,
,123,73,
,124,46,
2050,125,88,2020-05-04
,126,28,
,127,97,
,128,77,
,129,94,
2012,130,55,2020-12-01
2045,131,63,2020-06-19
,132,30,
,133,62,
,134,34,
,135,33,
,136,62,
,137,19,
,138,63,
,139,24,
,140,5,
,141,92,
,142,29,
,143,15,
,144,36,
,145,60,
,146,91,
,147,8,
,148,72,
,149,80,
,150,6,
,151,92,
,152,70,
,153,67,
,154,18,
,155,26,
,156,86,
,157,82,
,158,94,
,159,40,
,160,15,
,161,5,
,162,3,
,163,24,
,164,32,
,165,10,
,166,55,
,167,24,
,168,100,
,169,99,
,170,82,
,171,31,
,172,28,
,173,25,
,174,55,
,175,32,
,176,17,
,177,49,
,178,15,
,179,90,
,180,79,
,181,3,
,182,69,
,183,22,
,184,15,
,185,54,
,186,45,
,187,53,
,188,35,
,189,48,
,190,18,
,191,37,
,192,62,
,193,63,
,194,17,
,195,99,
,196,52,
,197,29,
,198,55,
,199,26,
,200,40,
,201,77,
,202,82,
,203,77,
,204,42,
,205,36,
,206,44,
,207,15,
,208,9,
,209,18,
,210,40,
,211,70,
,212,95,
,213,62,
,214,94,
,215,84,
,216,1,
,217,28,
,218,78,
,219,58,
,220,28,
,221,31,
,222,55,
,223,58,
,224,12,
,225,76,
,226,91,
,227,33,
,228,85,
,229,58,
,230,34,
,231,29,
,232,63,
,233,45,
,234,30,
,235,38,
,236,60,
,237,6,
,238,24,
,239,66,
,240,77,
,241,14,
,242,41,
,243,36,
,244,88,
,245,82,
,246,49,
,247,54,
,248,99,
,249,51,
,250,18,
,251,15,
,252,36,
,253,3,
,254,78,
,255,14,
,256,77,
,257,18,
,258,38,
,259,88,
,260,90,
,261,83,
2003,262,73,2020-07-14
,263,97,
,264,99,
,265,33,
,266,29,
,267,96,
,268,1,
,269,46,
,270,1,
2088,271,54,2021-01-24
,272,72,
,273,72,
,274,21,
,275,24,
,276,43,
2099,277,74,2020-11-02
,278,10,
,279,92,
,280,40,
,281,37,
,282,100,
,283,75,
2063,284,65,2020-08-15
,285,85,
,286,11,
,287,20,
,288,73,
,289,67,
,290,75,
,291,57,
,292,58,
,293,43,
,294,39,
,295,14,
,296,6,
,297,99,
,298,65,
,299,20,
,300,31,
,301,99,
,302,36,
,303,2,
,304,78,
,305,84,
,306,93,
,307,3,
,308,69,
,309,51,
,310,42,
,311,72,
,312,88,
,313,41,
,314,55,
,315,74,
2033,316,89,2020-09-29
,317,55,
,318,99,
,319,58,
,320,52,
,321,76,
,322,16,
,323,38,
,324,88,
,325,6,
,326,56,
,327,83,
,328,33,
,329,4,
,330,68,
,331,97,
,332,21,
,333,85,
,334,77,
,335,81,
,336,51,
,337,58,
,338,67,
,339,80,
,340,19,
,341,89,
2036,342,52,2020-08-09
,343,86,
,344,25,
,345,84,
,346,57,
,347,21,
,348,98,
,349,12,
,350,61,
,351,45,
,352,35,
,353,99,
,354,29,
,355,16,
,356,4,
,357,31,
,358,93,
,359,74,
,360,24,
,361,13,
,362,67,
,363,51,
,364,41,
,365,73,
,366,28,
,367,17,
,368,63,
,369,89,
,370,71,
,371,72,
,372,9,
,373,13,
,374,71,
,375,75,
,376,42,
,377,87,
,378,21,
,379,89,
,380,25,
,381,97,
,382,37,
,383,4,
,384,2,
,385,11,
,386,66,
,387,52,
,388,73,
,389,3,
,390,3,
,391,17,
,392,46,
,393,3,
,394,98,
,395,76,
,396,67,
,397,56,
,398,59,
,399,65,
,400,65,
,401,1,
,402,6,
,403,43,
,404,66,
,405,12,
,406,99,
,407,19,
,408,16,
,409,92,
,410,7,
,411,26,
,412,100,
,413,26,
,414,23,
,415,16,
,416,89,
,417,97,
,418,85,
,419,62,
,420,31,
,421,80,
,422,82,
,423,10,
,424,95,
,425,69,
,426,75,
,427,75,
,428,68,
,429,89,
,430,39,
,431,56,
,432,90,
,433,49,
,434,30,
,435,96,
,436,25,
,437,34,
,438,96,
,439,29,
,440,34,
,441,42,
,442,95,
,443,44,
,444,38,
,445,20,
,446,43,
,447,36,
,448,70,
,449,50,
,450,57,
,451,15,
,452,76,
,453,15,
,454,5,
,455,76,
,456,2,
,457,40,
,458,81,
,459,31,
,460,91,
,461,78,
,462,58,
,463,82,
,464,45,
,465,25,
,466,61,
,467,50,
,468,92,
,469,63,
,470,3,
,471,99,
,472,51,
,473,95,
,474,56,
,475,52,
,476,57,
,477,46,
,478,14,
,479,55,
,480,73,
,481,84,
,482,60,
,483,61,
,484,15,
,485,75,
,486,25,
,487,99,
,488,81,
,489,48,
,490,80,
,491,85,
,492,95,
,493,79,
,494,19,
,495,29,
,496,70,
,497,57,
,498,31,
,499,6,
,500,39,
,501,40,
2006,502,88,2021-02-15
,503,99,
,504,8,
,505,70,
,506,89,
,507,18,
,508,35,
,509,83,
,510,66,
,511,55,
,512,77,
,513,6,
,514,28,
,515,62,
,516,42,
,517,42,
,518,53,
,519,80,
,520,99,
,521,7,
,522,48,
,523,94,
,524,88,
,525,29,
,526,48,
,527,83,
,528,20,
,529,79,
,530,73,
,531,36,
,532,1,
2032,533,73,2020-06-20
,534,13,
,535,58,
,536,3,
,537,39,
,538,43,
,539,81,
,540,52,
,541,49,
,542,83,
,543,61,
,544,53,
,545,88,
,546,21,
,547,23,
,548,97,
,549,20,
,550,90,
,551,96,
,552,28,
,553,96,
,554,33,
,555,39,
,556,21,
,557,93,
,558,64,
,559,93,
,560,72,
,561,26,
,562,95,
,563,95,
,564,69,
,565,45,
,566,59,
,567,93,
