nom,cognom,data_naixement,correu_electronic,numero_telefon,ID_Localitzacio
Carlie,Neasham,1992-09-14,cneasham0@umn.edu,926-766-2659,1444
Shir,Mix,1979-06-01,smix1@bizjournals.com,766-104-2728,1047
Berni,Carass,1979-05-01,bcarass2@usnews.com,941-214-6394,1498
Nikos,Shotton,1998-10-22,nshotton3@xrea.com,615-647-2255,1076
Alec,Wixey,1968-11-17,awixey4@hud.gov,566-520-3584,1866
Francine,Davidove,2003-09-21,fdavidove5@privacy.gov.au,905-384-4013,1277
Cecilius,McCauley,1985-09-21,cmccauley6@twitpic.com,604-662-9562,1436
Gussy,Sangwin,1951-01-16,gsangwin7@archive.org,686-156-4172,1423
Arlan,Bodega,1984-04-21,abodega8@amazon.co.jp,882-257-2743,1240
Rici,McNellis,1991-03-21,rmcnellis9@patch.com,670-217-1142,1527
Etan,Wyman,1950-07-14,ewymana@shutterfly.com,887-351-4035,1434
Nerte,Jeacocke,1961-04-17,njeacockeb@1688.com,104-836-0059,1020
Liv,Luttgert,1964-05-05,lluttgertc@house.gov,791-649-1895,1475
Melloney,Mobbs,1961-09-10,mmobbsd@blogs.com,609-549-1061,1941
Byron,Hune,1975-10-03,bhunee@usa.gov,645-915-8190,1466
Justis,Clarke,1953-02-08,jclarkef@issuu.com,551-813-9620,1093
Jaye,Breeds,1954-11-27,jbreedsg@nps.gov,654-391-2245,1361
Finley,Emig,1996-06-10,femigh@plala.or.jp,260-312-1801,1049
Madelon,Sothcott,1999-08-11,msothcotti@prnewswire.com,369-359-9259,1503
Phillipe,Secombe,1953-05-16,psecombej@microsoft.com,572-378-7124,1326
Jackie,Aspey,1963-08-28,jaspeyk@google.com.au,806-394-1347,1773
Joleen,Kremer,1968-06-26,jkremerl@delicious.com,314-852-7483,1231
Parker,Faulder,1994-12-03,pfaulderm@vinaora.com,704-994-0547,1193
Ogdan,Cockcroft,1970-11-11,ocockcroftn@livejournal.com,504-821-7283,1496
Hannah,Davis,1982-12-13,hdaviso@typepad.com,361-749-1668,1495
Clarinda,Adrienne,1982-04-16,cadriennep@mlb.com,482-267-8240,1639
Patrice,Llewhellin,1956-03-20,pllewhellinq@nsw.gov.au,104-646-2226,1086
Brian,Pennycuick,1995-04-01,bpennycuickr@nps.gov,144-496-9891,1260
