ID_Persona,data_naixement,numero_telefon,ID_Localitzacio,ID_OfertaFeina
3001,1989-06-05,609-177-0205,2945,1
3002,1953-02-18,123-810-5502,2511,2
3003,1975-05-23,880-270-1694,2926,3
3004,1994-09-14,617-215-6183,2504,4
3005,1963-07-13,487-375-6851,2768,5
3006,1993-11-24,583-694-5688,2951,6
3007,1985-06-14,266-536-0408,2698,7
3008,1987-02-26,214-374-9703,2830,8
3009,2006-03-17,580-979-6612,2701,9
3010,1975-11-17,920-600-6358,2563,10
3011,1982-08-16,139-939-9812,2958,11
3012,1963-06-21,288-702-6214,2557,12
3013,1976-04-18,936-768-4429,2509,13
3014,1953-08-27,924-664-4386,2657,14
3015,1991-06-26,994-238-4374,2525,15
3016,1994-09-05,601-523-4961,2967,16
3017,1983-06-23,765-661-2716,2877,17
3018,1984-12-01,178-779-1325,2924,18
3019,1953-12-05,589-586-4742,2730,19
3020,1961-12-10,211-705-5680,2586,20
3021,1992-05-31,817-698-9390,2559,21
3022,1962-08-13,436-789-9304,2820,22
3023,1956-12-01,908-985-9833,2912,23
3024,2009-02-14,368-979-9281,2940,24
3025,2000-03-13,847-365-8437,2744,25
3026,2008-07-23,759-132-1525,2675,26
3027,1953-05-23,536-364-9873,2841,27
3028,1964-04-16,339-438-4429,2550,28
3029,1954-09-08,690-394-4999,2731,29
3030,1984-01-19,183-700-7317,2675,30
3031,1971-08-24,732-249-9324,2634,31
3032,1973-07-22,388-658-8359,2860,32
3033,1990-04-13,979-631-5658,2584,33
3034,2002-11-29,921-671-5587,2827,34
3035,1977-09-27,278-784-6706,2974,35
3036,1977-07-27,627-235-7728,2503,36
3037,1980-01-21,949-227-0808,2773,37
3038,1989-01-25,272-599-7948,2913,38
3039,1982-08-24,576-219-9523,2968,39
3040,1999-03-06,468-960-0759,2611,40
3041,1981-07-19,964-252-8396,2985,41
3042,2006-06-14,115-363-5778,2511,42
3043,1979-06-24,264-711-4367,2587,43
3044,2003-07-12,543-579-2691,2978,44
3045,2006-01-04,698-538-9704,2502,45
3046,1960-07-25,833-996-9871,2590,46
3047,1955-03-14,176-135-9496,2591,47
3048,1963-09-01,715-707-3995,2976,48
3049,1956-10-20,855-346-3260,2848,49
3050,1976-04-23,267-246-7846,2828,50
3051,1968-09-25,126-630-5148,2944,51
3052,2005-01-17,311-361-3138,2614,52
3053,1999-06-03,257-541-0327,2670,53
3054,1959-12-15,954-247-5190,2574,54
3055,1959-10-25,374-577-6026,2733,55
3056,1954-05-03,464-706-6797,2785,56
3057,2004-03-31,122-583-5482,2965,57
3058,1953-11-25,592-453-8359,2539,58
3059,1950-11-27,515-280-8483,2940,59
3060,1990-12-08,112-289-2791,2947,60
3061,1994-01-28,547-824-8332,2514,61
3062,2000-03-21,952-555-5743,2927,62
3063,2009-01-31,678-158-5379,2857,63
3064,1963-11-08,589-468-2913,2974,64
3065,1951-06-05,987-273-3230,2509,65
3066,1974-09-18,889-612-2734,2656,66
3067,1984-11-06,105-926-4685,2543,67
3068,1971-12-25,802-749-7067,2967,68
3069,1992-12-03,632-815-1484,2674,69
3070,1998-07-03,899-379-6113,2720,70
3071,1980-09-07,635-793-5870,2549,71
3072,1964-07-05,891-957-9265,2997,72
3073,2009-11-13,764-736-2947,2845,73
3074,1999-01-22,873-568-9313,2741,74
3075,2005-09-20,598-636-5733,2872,75
3076,1984-10-21,531-852-3970,2639,76
3077,1997-05-22,330-745-1836,2911,77
3078,1987-06-01,417-120-4158,2672,78
3079,1959-09-05,693-582-0195,2973,79
3080,1959-10-18,590-669-1641,2851,80
3081,1966-12-08,643-440-8694,2643,81
3082,1999-08-23,791-819-6329,2985,82
3083,1964-04-19,121-589-8676,2683,83
3084,1965-11-07,780-716-6727,2944,84
3085,2005-11-17,574-552-6433,2617,85
3086,2009-05-05,263-318-1089,2874,86
3087,2001-11-08,296-584-5738,2759,87
3088,1959-09-27,313-690-8589,2617,88
3089,1963-01-10,193-666-0404,2866,89
3090,1993-07-11,588-504-1776,2613,90
3091,1971-04-30,729-367-8659,2513,91
3092,1986-10-03,892-999-1869,2618,92
3093,1987-12-06,501-292-5755,2805,93
3094,1961-06-24,707-855-7329,2900,94
3095,1988-06-12,302-117-9814,2878,95
3096,1980-02-08,311-610-2580,2690,96
3097,1958-07-11,917-127-0859,2740,97
3098,1970-07-05,330-988-7399,2664,98
3099,1973-07-04,490-265-1414,2700,99
3100,2002-07-12,521-201-5888,2905,100
3101,1996-01-30,136-312-2495,2894,101
3102,1981-07-28,349-310-0965,2643,102
3103,1986-06-25,105-536-5047,2731,103
3104,1957-11-29,118-979-9983,2729,104
3105,2002-12-09,802-469-1963,2655,105
3106,1961-02-16,743-958-6596,2860,106
3107,1999-04-18,309-250-3707,2786,107
3108,1957-06-14,378-625-5715,2968,108
3109,1984-07-20,299-820-5780,2731,109
3110,1989-09-19,137-718-1165,2623,110
3111,1999-04-10,939-119-4086,2780,111
3112,1962-08-27,414-289-3513,2805,112
3113,2003-06-24,933-239-7993,2727,113
3114,1988-04-25,656-534-0569,2578,114
3115,1960-06-26,527-446-2256,2925,115
3116,1988-09-28,745-685-0671,2845,116
3117,1962-08-09,439-901-2280,2633,117
3118,1965-05-21,592-747-9544,2887,118
3119,1954-06-05,867-509-7627,2864,119
3120,2003-08-30,498-740-1320,2732,120
3121,1976-06-04,797-998-9883,2786,121
3122,1977-06-28,847-256-2443,2694,122
3123,2006-08-30,683-620-5161,2752,123
3124,1979-05-18,519-730-7920,2653,124
3125,1956-06-02,842-693-1201,2720,125
3126,1979-09-11,935-638-0016,2687,126
3127,1980-07-01,207-362-1161,2841,127
3128,2001-06-02,221-815-3361,2977,128
3129,1979-09-05,606-724-5909,2941,129
3130,1981-05-04,109-341-1696,2816,130
3131,1993-09-06,139-786-1149,2890,131
3132,1959-07-14,770-882-4225,2691,132
3133,1988-01-07,244-503-5697,2598,133
3134,1995-12-20,166-560-6774,2991,134
3135,1974-05-21,806-943-6864,2704,135
3136,2004-04-06,540-261-3379,2630,136
3137,1979-04-16,206-811-5478,2994,137
3138,1996-10-17,454-308-1345,2756,138
3139,1951-11-10,644-840-8480,2900,139
3140,1976-10-27,377-913-9561,2823,140
3141,1977-04-18,414-318-3832,2988,141
3142,1979-01-08,118-454-6836,2769,142
3143,1957-04-11,850-947-8824,2745,143
3144,1954-05-20,484-838-1707,2896,144
3145,1980-09-24,598-859-7387,2784,145
3146,1953-08-10,149-251-0314,2747,146
3147,1985-08-31,439-510-9198,2742,147
3148,1988-02-10,507-608-6637,2768,148
3149,1989-02-23,495-846-3158,2757,149
3150,1952-05-10,694-525-4831,2614,150
3151,1953-01-01,237-728-3970,2953,151
3152,1954-02-09,830-259-6426,2549,152
3153,1992-07-11,664-895-8998,2770,153
3154,1992-04-12,589-578-8964,2869,154
3155,1998-01-03,350-371-9076,2586,155
3156,1952-12-05,369-846-9213,2871,156
3157,2001-03-24,854-877-4964,2868,157
3158,1957-04-21,119-505-6767,2739,158
3159,1982-04-18,965-113-9170,2874,159
3160,1997-09-12,302-709-0461,2777,160
3161,1984-03-11,949-956-5659,2787,161
3162,1977-04-13,556-448-9945,2930,162
3163,1956-10-18,304-727-6490,2573,163
3164,1989-06-30,415-712-5181,2683,164
3165,1950-12-29,752-197-6994,2867,165
3166,2007-04-20,876-652-1813,2792,166
3167,1951-12-05,123-700-0427,2531,167
3168,1976-07-02,794-536-2453,2993,168
3169,1995-10-30,819-115-9037,2790,169
3170,1987-03-11,412-631-8925,2980,170
3171,2000-08-04,251-641-5521,2658,171
3172,1950-03-16,269-670-7644,2951,172
3173,1971-03-14,531-806-1048,2705,173
3174,1967-11-02,891-273-1287,2519,174
3175,1960-07-22,473-624-5543,2527,175
3176,1980-09-16,379-667-9993,2699,176
3177,1978-12-04,131-524-5560,2712,177
3178,1970-10-29,925-458-5219,2910,178
3179,1994-02-24,339-805-8387,2838,179
3180,1976-09-02,201-462-5211,2733,180
3181,2001-08-08,412-208-7761,2925,181
3182,1955-06-04,315-747-0365,2634,182
3183,2005-11-30,312-341-4445,2871,183
3184,1953-09-21,256-507-2354,2939,184
3185,1960-02-12,428-355-7077,2699,185
3186,2004-06-05,936-443-2335,2931,186
3187,1966-09-18,636-499-7423,2777,187
3188,1954-09-18,423-751-4661,2986,188
3189,2006-11-14,147-550-5360,2671,189
3190,2003-02-13,139-327-6448,2557,190
3191,1981-03-18,213-650-9049,2689,191
3192,1950-09-19,112-736-4056,2647,192
3193,2009-03-21,516-223-3672,2514,193
3194,1969-03-27,636-808-8249,2516,194
3195,1954-05-23,508-136-7622,2810,195
3196,1957-06-14,226-666-0341,2836,196
3197,1963-04-17,531-126-1030,2610,197
3198,1996-10-08,428-101-8724,2788,198
3199,2009-01-25,701-636-2792,2657,199
3200,1999-05-07,552-254-6362,2688,200
