numero_targeta,ID_Client,ID_Botiga,data_compra
30168822053897,16,92,2012-11-05
30168822053897,16,92,2019-11-29
30168822053897,16,92,2020-09-27
30168822053897,16,92,2019-09-27
3578827918880735,23,92,2012-06-26
3578827918880735,23,92,2017-10-16
3578827918880735,23,92,2016-11-18
3578827918880735,23,92,2015-11-18
3547874512093966,35,92,2017-01-23
3547874512093966,35,92,2014-09-19
3547874512093966,35,92,2014-08-23
3547874512093966,35,92,2015-08-23
4936002216407616,60,92,2016-04-29
4936002216407616,60,92,2014-05-23
4936002216407616,60,92,2017-05-15
5602247462054998,73,92,2013-08-10
5602247462054998,73,92,2014-08-17
5602247462054998,73,92,2013-11-13
5602247462054998,73,92,2014-11-13
3528155194325899,77,92,2018-12-15
3528155194325899,77,92,2018-02-26
3528155194325899,77,92,2015-03-28
3528155194325899,77,92,2016-03-28
3538165874849843,81,92,2012-01-16
3538165874849843,81,92,2013-03-09
3538165874849843,81,92,2018-03-29
3534546664664787,130,92,2020-05-26
3534546664664787,130,92,2014-04-27
3534546664664787,130,92,2015-07-30
3534546664664787,130,92,2014-07-30
3543938290719466,134,92,2014-08-17
3543938290719466,134,92,2015-02-13
3543938290719466,134,92,2017-03-02
3543938290719466,134,92,2016-03-02
3558791298513858,206,92,2020-01-30
3558791298513858,206,92,2011-04-28
3558791298513858,206,92,2016-01-20
3558791298513858,206,92,2015-01-20
