ID_Telefon,numero,tipus
1001,412-240-0350,Landline
1002,422-329-5666,Mobile
1003,700-138-5590,Landline
1004,932-541-9096,Mobile
1005,943-499-8668,Landline
1006,699-148-6377,Mobile
1007,437-121-8282,Landline
1008,797-153-8810,Mobile
1009,999-369-9221,Landline
1010,311-750-1202,Mobile
1011,681-233-9753,Landline
1012,514-314-8989,Mobile
1013,416-926-7005,Landline
1014,943-181-6779,Mobile
1015,178-854-5861,Landline
1016,258-163-6300,Mobile
1017,311-599-6935,Landline
1018,982-942-8010,Mobile
1019,907-748-0219,Landline
1020,712-742-4891,Mobile
1021,331-771-5277,Landline
1022,893-254-2462,Mobile
1023,967-250-3252,Landline
1024,181-836-0926,Mobile
1025,403-138-3158,Landline
1026,439-262-8315,Mobile
1027,283-641-8471,Landline
1028,950-969-8163,Mobile
1029,954-164-6979,Landline
1030,460-995-0313,Mobile
1031,646-787-2835,Landline
1032,209-243-1622,Mobile
1033,133-196-2213,Landline
1034,527-882-8381,Mobile
1035,677-404-8650,Landline
1036,557-326-6273,Mobile
1037,207-586-3807,Landline
1038,213-579-4602,Mobile
1039,810-223-6195,Landline
1040,897-125-8152,Mobile
1041,716-863-5389,Landline
1042,774-581-5701,Mobile
1043,992-343-2924,Landline
1044,629-367-1990,Mobile
1045,660-414-1429,Landline
1046,386-685-3501,Mobile
1047,797-394-8263,Landline
1048,440-398-9488,Mobile
1049,867-470-3870,Landline
1050,125-572-4724,Mobile
1051,455-697-6808,Landline
1052,753-143-3831,Mobile
1053,682-992-9104,Landline
1054,683-704-0108,Mobile
1055,466-111-6295,Landline
1056,242-719-6294,Mobile
1057,723-817-2004,Landline
1058,582-435-8853,Mobile
1059,432-552-5225,Landline
1060,300-420-2237,Mobile
1061,692-141-4690,Landline
1062,872-508-6205,Mobile
1063,704-585-3725,Landline
1064,945-971-0593,Mobile
1065,812-590-6588,Landline
1066,759-425-9978,Mobile
1067,902-493-9229,Landline
1068,402-110-2709,Mobile
1069,800-990-8797,Landline
1070,692-460-7401,Mobile
1071,273-446-0988,Landline
1072,492-720-1701,Mobile
1073,776-586-4970,Landline
1074,644-352-9454,Mobile
1075,426-695-0077,Landline
1076,501-862-1179,Mobile
1077,262-984-5380,Landline
1078,415-705-1327,Mobile
1079,776-985-1651,Landline
